CAL,CNC,GR,HRD,HRM,PE,ZDEN,DTC
14.957,0.4966,63.1593,2.0472,1.6373,28.1064,2.4055,125.9726
14.6341,0.4433,64.5217,2.0464,1.4866,26.5968,2.4579,125.8528
14.0163,0.4469,60.8421,1.9533,1.4438,9.8556,2.3138,125.9774
13.6321,0.4633,58.7762,1.8688,1.4327,6.6753,2.1849,126.5374
13.4091,0.4821,62.9978,1.7049,1.3211,6.5535,2.137,127.4648
13.2954,0.4689,64.6493,1.6703,1.3012,6.6136,2.1395,127.6743
13.284,0.4865,65.5135,1.6453,1.2897,6.6984,2.1377,127.7576
13.2074,0.5046,64.0752,1.6141,1.2786,6.6727,2.1378,127.7952
13.1461,0.5187,65.2004,1.6325,1.2729,6.7969,2.138,127.8295
13.1382,0.5189,62.2506,1.6316,1.272,6.9127,2.1346,127.845
13.1236,0.527,60.888000000000005,1.6156,1.2747,6.9043,2.1333,127.7729
13.0381,0.4835,61.1003,1.6111,1.2691,6.7553,2.1335,127.5189
12.9958,0.4391,63.5785,1.7122,1.3476,6.6467,2.1333,127.1364
12.9509,0.4176,65.4072,1.5414,1.2826,6.4179,2.1319999999999997,126.7274
12.8458,0.4507,65.2377,1.4801,1.2955,7.5999,2.1184,125.9853
12.7947,0.4415,61.9317,1.4809,1.298,9.5498,2.1245,125.0166
12.7048,0.4759,59.4657,1.4807,1.2968,9.0081,2.1177,124.7731
12.7245,0.4965,57.9696,1.4889,1.2835,8.2102,2.1074,124.7578
12.6875,0.4746,56.6853,1.4956,1.2721,8.177,2.1033,124.7926
12.6102,0.4277,57.7923,1.4976,1.2690000000000001,8.7772,2.1098,124.7073
12.5582,0.4191,58.8948,1.4925,1.2772,9.5185,2.1205,124.6354
12.5263,0.4448,56.9256,1.4676,1.2971,10.1713,2.1292,124.8967
12.3965,0.4561,55.9911,1.4345,1.2961,9.5231,2.1217,125.6561
12.2864,0.4396,59.6147,1.4262,1.2923,7.9264,2.1228,126.5547
12.2202,0.4,60.4603,1.4244,1.2944,7.0419,2.142,126.9953
12.1345,0.4397,56.9159,1.4303,1.2608,6.4124,2.1631,125.7989
12.035,0.4491,56.6784,1.4581,1.2499,6.7299,2.1651,125.4882
11.9861,0.3842,55.6036,1.5058,1.3677,7.5375,2.1969,124.0998
11.9118,0.3998,50.4925,1.4905,1.4280000000000002,8.4429,2.2393,122.7119
11.8397,0.491,48.1226,1.5042,1.4438,9.9752,2.2643,120.8324
